case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.346961975097656,0.0,5,0,0.0,True,5,4,32683
002,full,-3.3456077575683594,0.0,5,0,0.0,True,5,2,32307
003,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,30664
004,full,-10.361473083496094,0.0,5,0,0.0,True,2,1,27139
005,full,-7.707094192504883,0.0,3,0,0.0,True,1,0,22351
006,full,-8.870079040527344,0.0,5,0,0.0,True,5,2,32152
007,full,-7.2280120849609375,0.0,5,0,0.0,True,4,1,31040
008,full,-6.2419586181640625,0.0,5,0,0.0,True,4,0,31404
009,full,-10.643351554870604,0.0,5,0,0.0,True,4,0,29393
010,full,-4.743168592453003,0.0,2,0,0.0,True,2,0,15342
011,full,-11.669610977172852,0.0,3,0,0.0,True,3,0,22371
012,full,-3.5041396617889404,0.0,5,0,0.0,True,4,0,29662
