case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,no_slip,-4.284698486328125,-6.103515625e-05,5,0,0.0,True,3,1,28493
002,no_slip,-4.346961975097656,,5,0,0.0,True,5,4,28591
003,no_slip,-3.288808822631836,,5,0,0.0,True,5,0,28051
004,no_slip,-7.176612854003906,,5,0,0.0,True,4,0,25209
005,no_slip,-10.075138092041016,,5,0,0.0,True,2,0,26540
006,no_slip,-3.715871810913086,0.0,5,0,0.0,True,2,0,26347
007,no_slip,-19.925071716308594,,5,0,0.0,True,2,2,26555
008,no_slip,-8.466697692871094,,5,0,0.0,True,4,0,27477
009,no_slip,-4.292024612426758,,5,0,0.0,True,4,1,27624
010,no_slip,-3.3456077575683594,,5,0,0.0,True,5,2,27296
011,no_slip,-4.36711311340332,,4,0,0.0,True,2,1,24729
012,no_slip,-14.549540519714355,,4,0,0.0,True,4,0,26839
013,no_slip,-2.693397521972656,0.0752696990966796,5,0,0.0,True,2,1,25385
014,no_slip,-11.384395599365234,6.103515625e-05,5,0,0.0,True,4,0,29214
015,no_slip,-1.094757080078125,,4,0,0.0,True,2,2,26618
016,no_slip,-10.24188995361328,,5,0,0.0,True,2,0,26729
017,no_slip,-2.7164840698242188,,2,0,0.0,True,2,0,15550
018,no_slip,-7.854701995849609,,5,0,0.0,True,4,0,29577
019,no_slip,-2.5004806518554688,,5,0,0.0,True,3,1,27471
020,no_slip,-7.707094192504883,,5,0,0.0,True,3,0,26852
021,no_slip,-5.017307281494141,,5,0,0.0,True,4,0,25902
022,no_slip,-3.5104408264160156,0.0944423675537109,5,0,0.0,True,4,0,27179
023,no_slip,-3.607513427734375,,5,0,0.0,True,1,0,27087
024,no_slip,-5.207887649536133,0.0149917602539062,2,0,0.0,True,2,0,14865
025,no_slip,-3.493206024169922,,5,0,0.0,True,2,0,25530
026,no_slip,-7.434549331665039,,3,0,0.0,True,2,0,20659
027,no_slip,-7.403881072998047,0.0,5,0,0.0,True,3,1,24368
028,no_slip,-4.019645690917969,,5,0,0.0,True,5,0,29505
029,no_slip,-7.967422485351563,,5,0,0.0,True,5,1,29511
030,no_slip,-5.087837219238281,,4,0,0.0,True,2,0,25901
031,no_slip,-5.4770660400390625,,5,0,0.0,True,2,0,26944
032,no_slip,-7.2280120849609375,,5,0,0.0,True,4,1,26859
033,no_slip,-4.546131134033203,,5,0,0.0,True,4,1,26217
034,no_slip,-6.991722106933594,0.0,5,0,0.0,True,4,2,28119
035,no_slip,-6.2310638427734375,,4,0,0.0,True,3,0,27652
036,no_slip,-10.208537101745604,,5,0,0.0,True,5,0,28002
037,no_slip,-5.74797248840332,,5,0,0.0,True,4,0,27750
038,no_slip,-3.3852310180664062,,5,0,0.0,True,4,1,27092
039,no_slip,-5.363460540771484,-0.0008563995361328,5,0,0.0,True,4,1,28947
040,no_slip,-9.668575286865234,,5,0,0.0,True,5,2,30283
041,no_slip,-4.743168592453003,,3,0,0.0,True,2,0,20328
042,no_slip,-3.2839298248291016,,2,0,0.0,True,2,0,14256
043,no_slip,-7.811891555786133,,5,0,0.0,True,5,1,29346
044,no_slip,-3.056640625,,5,0,0.0,True,3,0,27311
045,no_slip,-1.5380783081054688,0.012969970703125,4,1,0.25,True,1,0,27652
046,no_slip,-4.417152404785156,,5,0,0.0,True,3,0,27204
047,no_slip,-2.113170623779297,,5,0,0.0,True,3,1,25922
048,no_slip,-11.654901504516602,,4,0,0.0,True,4,0,26778
049,no_slip,-8.628105163574219,,5,0,0.0,True,5,0,26518
050,no_slip,-3.5041396617889404,,5,0,0.0,True,4,0,26265
051,no_slip,-3.1345107555389404,,4,0,0.0,True,3,0,26201
052,no_slip,-0.1671810150146484,,5,0,0.0,True,1,2,25983
053,no_slip,,,2,1,0.5,False,1,1,17516
054,no_slip,-11.695274353027344,,5,0,0.0,True,3,0,25007
055,no_slip,-2.739093780517578,,5,0,0.0,True,5,2,27912
056,no_slip,-12.998695373535156,3.0517578125e-05,3,0,0.0,True,2,0,20421
057,no_slip,-10.486995697021484,,4,0,0.0,True,3,1,25254
058,no_slip,-2.903726577758789,,3,0,0.0,True,2,0,19269
059,no_slip,-2.848228454589844,,4,0,0.0,True,3,0,25643
060,no_slip,-8.329967498779297,,4,0,0.0,True,2,0,24881
061,no_slip,-10.710975646972656,0.0025634765625,4,0,0.0,True,1,0,25429
062,no_slip,-7.211048126220703,,5,0,0.0,True,5,2,28604
